,Unnamed: 0,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
1938,155210,Pablo S. McNeil,M,29.0,180.0,75.0,Jamaica,JAM,1968 Summer,1968,Mexico City,Athletics,100 meters,nan
1939,155213,David McNeill,M,29.0,175.0,53.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 meters",nan
1940,155248,"Howard McLeod ""Howie"" McPhee",M,20.0,178.0,73.0,Canada,CAN,1936 Summer,1936,Berlin,Athletics,100 meters,nan
1941,155357,Aileen Aletha Meagher,F,25.0,168.0,55.0,Canada,CAN,1936 Summer,1936,Berlin,Athletics,100 meters,nan
1942,155368,"Alfred F. ""Alf"" Meakin",M,26.0,176.0,77.0,Great Britain,GBR,1964 Summer,1964,Tokyo,Athletics,100 meters,nan
1943,155398,Meas Kheng,F,26.0,153.0,48.0,Cambodia,CAM,1972 Summer,1972,Munich,Athletics,100 meters,nan
1944,155422,Lajos Mecser,M,26.0,176.0,69.0,Hungary,HUN,1968 Summer,1968,Mexico City,Athletics,"10,000 meters",nan
1945,155471,Teklemariam Medhin Weldeslassie,M,19.0,184.0,65.0,Eritrea,ERI,2008 Summer,2008,Beijing,Athletics,"10,000 meters",nan
1946,155472,Teklemariam Medhin Weldeslassie,M,23.0,184.0,65.0,Eritrea,ERI,2012 Summer,2012,London,Athletics,"10,000 meters",nan
1947,155582,Vitaly Medvedev,M,19.0,173.0,64.0,Kazakhstan,KAZ,1996 Summer,1996,Atlanta,Athletics,100 meters,nan
1948,155583,Vitaly Medvedev,M,23.0,173.0,64.0,Kazakhstan,KAZ,2000 Summer,2000,Sydney,Athletics,100 meters,nan
1949,155727,Estella Meheux,F,18.0,180.0,54.0,Sierra Leone,SLE,1980 Summer,1980,Moskva,Athletics,100 meters,nan
1950,155979,Amadou Mit,M,22.0,171.0,63.0,Cote d'Ivoire,CIV,1972 Summer,1972,Munich,Athletics,100 meters,nan
1951,155981,Amadou Mit,M,26.0,171.0,63.0,Cote d'Ivoire,CIV,1976 Summer,1976,Montreal,Athletics,100 meters,nan
1952,155983,Ben Youssef Mit,M,25.0,180.0,75.0,Cote d'Ivoire,CIV,2012 Summer,2012,London,Athletics,100 meters,nan
1953,155984,Ben Youssef Mit,M,29.0,180.0,75.0,Cote d'Ivoire,CIV,2016 Summer,2016,Rio de Janeiro,Athletics,100 meters,nan
1954,155986,Ibrahim Mit,M,23.0,183.0,75.0,Cote d'Ivoire,CIV,2000 Summer,2000,Sydney,Athletics,100 meters,nan
1955,156002,lvaro Meja Florez,M,28.0,178.0,67.0,Colombia,COL,1968 Summer,1968,Mexico City,Athletics,"10,000 meters",nan
1956,156486,Adalberto Mndez Q.,M,21.0,174.0,72.0,Dominican Republic,DOM,1996 Summer,1996,Atlanta,Athletics,100 meters,nan
1957,156558,"Edward Eugene ""Ed"" Mendoza",M,23.0,167.0,60.0,United States,USA,1976 Summer,1976,Montreal,Athletics,"10,000 meters",nan
1958,156661,Oscar D. Meneses Gonzlez,M,23.0,178.0,69.0,Guatemala,GUA,2000 Summer,2000,Sydney,Athletics,100 meters,nan
1959,156775,Pietro Paolo Mennea,M,28.0,180.0,73.0,Italy,ITA,1980 Summer,1980,Moskva,Athletics,100 meters,nan
1960,156801,Collins Mensah,M,23.0,180.0,77.0,Ghana,GHA,1984 Summer,1984,Los Angeles,Athletics,100 meters,nan
1961,156900,Boniface Merande,M,26.0,170.0,60.0,Kenya,KEN,1988 Summer,1988,Seoul,Athletics,"10,000 meters",nan
1962,156903,Gabrou Merawi,M,27.0,172.0,62.0,Ethiopia,ETH,1960 Summer,1960,Roma,Athletics,"10,000 meters",nan
1963,157256,John Linden Merriman,M,24.0,171.0,60.0,Great Britain,GBR,1960 Summer,1960,Roma,Athletics,"10,000 meters",nan
1964,157281,Franois Mersch,M,23.0,180.0,73.0,Luxembourg,LUX,1936 Summer,1936,Berlin,Athletics,100 meters,nan
1965,157572,Ralph Harold Metcalfe,M,22.0,180.0,82.0,United States,USA,1932 Summer,1932,Los Angeles,Athletics,100 meters,Silver
1966,157574,Ralph Harold Metcalfe,M,26.0,180.0,82.0,United States,USA,1936 Summer,1936,Berlin,Athletics,100 meters,Silver
1967,157630,Joseph Obinna Metu,M,20.0,189.0,76.0,Nigeria,NGR,2008 Summer,2008,Beijing,Athletics,100 meters,nan
1968,157633,Joseph Obinna Metu,M,24.0,189.0,76.0,Nigeria,NGR,2012 Summer,2012,London,Athletics,100 meters,nan
1969,157638,Gert Metz,M,26.0,176.0,72.0,West Germany,FRG,1968 Summer,1968,Mexico City,Athletics,100 meters,nan
1970,157674,Daniele Meucci,M,26.0,178.0,64.0,Italy,ITA,2012 Summer,2012,London,Athletics,"10,000 meters",nan
1971,157743,Alvah T. Meyer,M,23.0,173.0,65.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,100 meters,Silver
1972,157771,Elana Meyer (-van Zyl),F,25.0,158.0,55.0,South Africa,RSA,1992 Summer,1992,Barcelona,Athletics,"10,000 meters",Silver
1973,157773,Elana Meyer (-van Zyl),F,33.0,158.0,55.0,South Africa,RSA,2000 Summer,2000,Sydney,Athletics,"10,000 meters",nan
1974,157797,Gabrielle Meyer (-Morre),F,21.0,172.0,60.0,France,FRA,1968 Summer,1968,Mexico City,Athletics,100 meters,nan
1975,157834,Renate Meyer (Rose-),F,26.0,165.0,54.0,Germany,GER,1964 Summer,1964,Tokyo,Athletics,100 meters,nan
1976,157835,Renate Meyer (Rose-),F,30.0,165.0,54.0,West Germany,FRG,1968 Summer,1968,Mexico City,Athletics,100 meters,nan
1977,157924,Assefa Mezgebu,M,22.0,175.0,55.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"10,000 meters",Bronze
1978,157954,Pascal Mfyomi,M,22.0,175.0,64.0,Tanzania,TAN,1964 Summer,1964,Tokyo,Athletics,"10,000 meters",nan
1979,158031,Lambert Micha,M,26.0,180.0,76.0,Belgium,BEL,1976 Summer,1976,Montreal,Athletics,100 meters,nan
1980,158272,Ingrid Mickler-Becker (-Inglau),F,29.0,177.0,66.0,West Germany,FRG,1972 Summer,1972,Munich,Athletics,100 meters,nan
1981,158304,"Daniel ""Dan"" Middleman",M,26.0,180.0,61.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,"10,000 meters",nan
1982,158337,Gnter Mielke,M,29.0,176.0,62.0,West Germany,FRG,1972 Summer,1972,Munich,Athletics,"10,000 meters",nan
1983,158513,Franjo Mihali,M,32.0,175.0,58.0,Yugoslavia,YUG,1952 Summer,1952,Helsinki,Athletics,"10,000 meters",nan
1984,158523,Lszl Mihlyfi,M,25.0,182.0,78.0,Hungary,HUN,1964 Summer,1964,Tokyo,Athletics,100 meters,nan
1985,158875,Milena Milaevi,F,24.0,173.0,64.0,Montenegro,MNE,2008 Summer,2008,Beijing,Athletics,100 meters,nan
1986,158948,Helen Louise Miles (-Jones),F,21.0,160.0,55.0,Great Britain,GBR,1988 Summer,1988,Seoul,Athletics,100 meters,nan
1987,159166,"Deborah ""Debbie"" Miller",F,18.0,155.0,54.0,Canada,CAN,1968 Summer,1968,Mexico City,Athletics,100 meters,nan
1988,159219,Lennox Valencia Miller,M,22.0,183.0,79.0,Jamaica,JAM,1968 Summer,1968,Mexico City,Athletics,100 meters,Silver
1989,159221,Lennox Valencia Miller,M,25.0,183.0,79.0,Jamaica,JAM,1972 Summer,1972,Munich,Athletics,100 meters,Bronze
1990,159295,Ross Arthur Millington,M,26.0,173.0,58.0,Great Britain,GBR,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 meters",nan
1991,159327,"William Mervin ""Billy"" Mills",M,26.0,180.0,68.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,"10,000 meters",Gold
1992,159417,Luk Milo,M,24.0,183.0,83.0,Czech Republic,CZE,2008 Summer,2008,Beijing,Athletics,100 meters,nan
1993,159446,Duan Miloevi,M,17.0,171.0,62.0,Serbia,SRB,1912 Summer,1912,Stockholm,Athletics,100 meters,nan
1994,159537,Alain (Ali-) Mimoun Ould Kacha,M,27.0,170.0,56.0,France,FRA,1948 Summer,1948,London,Athletics,"10,000 meters",Silver
1995,159539,Alain (Ali-) Mimoun Ould Kacha,M,31.0,170.0,56.0,France,FRA,1952 Summer,1952,Helsinki,Athletics,"10,000 meters",Silver
1996,159540,Alain (Ali-) Mimoun Ould Kacha,M,35.0,170.0,56.0,France,FRA,1956 Summer,1956,Melbourne,Athletics,"10,000 meters",nan
1997,159577,Edmund Joseph Minahan,M,17.0,183.0,86.0,United States,USA,1900 Summer,1900,Paris,Athletics,100 meters,nan
1998,159897,Constantino Miranda Justo,M,23.0,162.0,53.0,Spain,ESP,1948 Summer,1948,London,Athletics,"10,000 meters",nan
1999,159933,Pedro Miranda Noguez,M,24.0,173.0,62.0,Mexico,MEX,1972 Summer,1972,Munich,Athletics,"10,000 meters",nan
2000,160152,Missie Misomali,F,21.0,161.0,53.0,Malawi,MAW,1972 Summer,1972,Munich,Athletics,100 meters,nan
2001,160228,Dennis Allen Mitchell,M,22.0,175.0,70.0,United States,USA,1988 Summer,1988,Seoul,Athletics,100 meters,nan
2002,160230,Dennis Allen Mitchell,M,26.0,175.0,70.0,United States,USA,1992 Summer,1992,Barcelona,Athletics,100 meters,Bronze
2003,160232,Dennis Allen Mitchell,M,30.0,175.0,70.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,100 meters,nan
2004,160257,Kerri-Ann Mitchell,F,29.0,165.0,56.0,Canada,CAN,2012 Summer,2012,London,Athletics,100 meters,nan
2005,160759,Dickson Marwa Mkami,M,26.0,179.0,68.0,Tanzania,TAN,2008 Summer,2008,Beijing,Athletics,"10,000 meters",nan
2006,160917,Patrick Mocci-Raoumb,M,26.0,160.0,70.0,Gabon,GAB,1996 Summer,1996,Atlanta,Athletics,100 meters,nan
2007,160926,Sitiveni Moceidreke,M,23.0,186.0,78.0,Fiji,FIJ,1960 Summer,1960,Roma,Athletics,100 meters,nan
2008,160963,Sabrina Mockenhaupt,F,23.0,155.0,45.0,Germany,GER,2004 Summer,2004,Athina,Athletics,"10,000 meters",nan
2009,160964,Sabrina Mockenhaupt,F,27.0,155.0,45.0,Germany,GER,2008 Summer,2008,Beijing,Athletics,"10,000 meters",nan
2010,160965,Sabrina Mockenhaupt,F,31.0,155.0,45.0,Germany,GER,2012 Summer,2012,London,Athletics,"10,000 meters",nan
2011,161296,Abdullah Abkar Mohammed,M,19.0,172.0,73.0,Saudi Arabia,KSA,2016 Summer,2016,Rio de Janeiro,Athletics,100 meters,nan
2012,161451,Tukal Mokalam,M,23.0,165.0,65.0,Philippines,PHI,1972 Summer,1972,Munich,Athletics,100 meters,nan
2013,161475,Stephen Mokoka,M,31.0,157.0,52.0,South Africa,RSA,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 meters",nan
2014,161476,Carol Mokola,F,27.0,159.0,49.0,Zambia,ZAM,2004 Summer,2004,Athina,Athletics,100 meters,nan
2015,161605,Enrique Molina Vargas,M,32.0,175.0,62.0,Spain,ESP,2000 Summer,2000,Sydney,Athletics,"10,000 meters",nan
2016,161654,Cecilia Molinari,F,22.0,158.0,56.0,Italy,ITA,1972 Summer,1972,Munich,Athletics,100 meters,nan
2017,161742,Silke Mller (Gladisch-),F,24.0,168.0,57.0,East Germany,GDR,1988 Summer,1988,Seoul,Athletics,100 meters,nan
2018,162032,Yvette Monginou (-Trombetta),F,25.0,162.0,56.0,France,FRA,1952 Summer,1952,Helsinki,Athletics,100 meters,nan
2019,162151,"Ronald S. ""Ron"" Monsegue",M,26.0,173.0,69.0,Trinidad and Tobago,TTO,1968 Summer,1968,Mexico City,Athletics,100 meters,nan
2020,162154,"Eduard George ""Eddy"" Monsels",M,20.0,177.0,65.0,Suriname,SUR,1968 Summer,1968,Mexico City,Athletics,100 meters,nan
2021,162155,"Samuel ""Sammy"" Monsels",M,19.0,169.0,64.0,Suriname,SUR,1972 Summer,1972,Munich,Athletics,100 meters,nan
2022,162157,"Samuel ""Sammy"" Monsels",M,22.0,169.0,64.0,Suriname,SUR,1976 Summer,1976,Montreal,Athletics,100 meters,nan
2023,162355,Pablo Montes Casanova,M,20.0,184.0,83.0,Cuba,CUB,1968 Summer,1968,Mexico City,Athletics,100 meters,nan
2024,162483,Isidro Montoya Valencia,M,21.0,176.0,68.0,Colombia,COL,2012 Summer,2012,London,Athletics,100 meters,nan
2025,162698,Motsapi Moorosi,M,27.0,170.0,62.0,Lesotho,LES,1972 Summer,1972,Munich,Athletics,100 meters,nan
2026,162748,Luis Orlando de los Angeles Mora Padilla,M,24.0,172.0,58.0,Costa Rica,CRC,1984 Summer,1984,Los Angeles,Athletics,"10,000 meters",nan
